code,loc,dem,slope,aspect,twi,aspectF
A026,GEN,1734,36.8,42,6.035012245178223,NE
P037,CAN,1773,12.2,160,8.604623794555664,S
P007,CAN,1758,9.7,148,7.852681636810303,SE
P027,CAN,1823,10.7,144,8.884093284606934,SE
P024,CAN,1823,9.6,83,8.349601745605469,E
P034,CAN,1830,15.1,144,8.940813064575195,SE
P038,CAN,1762,7.7,187,7.304934501647949,S
P033,CAN,1818,11.7,163,6.170400619506836,S
P030,CAN,1823,10.8,178,7.835419654846191,S
P035,CAN,1755,12.7,162,9.743186950683594,S
P023,CAN,1862,14.1,159,6.8431172370910645,S
P026,CAN,1874,11.2,119,8.160387992858887,SE
P021,CAN,1846,17.3,183,7.915829181671143,S
P022,CAN,1810,6.9,185,8.980401992797852,S
A024,GEN,1752,39.2,314,4.411417484283447,NW
A028,GEN,1629,30.6,304,12.397807121276855,NW
A027,GEN,1688,18.3,66,6.6228508949279785,NE
A040,GEN,1682,17.2,357,6.154683589935303,N
A041,GEN,1851,41.2,95,4.689210891723633,E
A036,GEN,1790,35.4,321,6.255089282989502,NW
A037,GEN,1834,29.6,0,6.7003703117370605,N
A038,GEN,1735,21.2,324,7.028825283050537,NW
A039,GEN,1676,39.2,356,6.432633876800537,N
A035,GEN,1745,37.6,56,4.278164386749268,NE
A034,GEN,1603,28.5,353,5.778645992279053,N
A033,GEN,1645,38.1,356,4.43189001083374,N
A032,GEN,1697,38.9,314,3.985246181488037,NW
A031,GEN,1817,36.4,35,4.9032063484191895,NE
DUR1,DUR,1780,23.9,303,9.55788516998291,NW
DUR2,DUR,1766,31.5,299,7.047430038452148,NW
DUR3,DUR,1797,21.4,7,6.321732997894287,N
DUR4,DUR,1809,26,41,6.326632499694824,NE
DUR5,DUR,1846,23.5,357,5.894968032836914,N
DIL2,DIL,1791,29.9,347,4.669468879699707,N
DIL3,DIL,1816,23.5,350,5.597357273101807,N
DIL4,DIL,1704,7.7,335,4.292470932006836,NW
DIL5,DIL,1667,40.1,273,7.1451897621154785,W
DIL1,DIL,1791,22.6,322,11.806431770324707,NW
CAM1,CAM,1755,31.8,283,3.675584077835083,W
CAM3,CAM,1758,26.9,94,5.195647239685059,E
CAM4,CAM,1809,21.8,130,4.86003303527832,SE
CAM5,CAM,1822,22,36,5.10438871383667,NE
CAM2,CAM,1772,30.8,331,5.086518287658691,NW
POR2,TRE,1696,15.3,137,6.536702632904053,SE
PAM4,POQ,1648,28.1,114,7.0499396324157715,SE
POR4,TRE,1539,27.5,150,6.495950698852539,SE
POR3,TRE,1733,26.2,45,7.526788234710693,NE
POR1,TRE,1622,15,233,12.43989086151123,SW
PAM1,POQ,1940,13.6,143,7.933568954467773,SE
PAM3,POQ,1646,14.4,264,6.8404741287231445,W
PAM2,POQ,1600,9.6,154,6.447804927825928,SE
C-3,MON,1894,9.9,339,8.429838180541992,N
A-3,MON,1762,30,304,4.45448112487793,NW
B-3,MON,1659,13.4,4,16.290544509887695,N
CAN_CON_26,CAN,1720,11.9,166,5.733348846435547,S
CAN_RES_24,CAN,1718,12.2,138,8.314494132995605,SE
CAN_RES_23,CAN,1739,8.2,189,6.035592079162598,S
CAN_CON_22,CAN,1690,14.1,207,5.917981147766113,SW
CAN_RES_38,CAN,1676,14.9,216,11.784078598022461,SW
CAN_RES_21,CAN,1709,11.8,211,6.890535831451416,SW
CAN_RES_31,CAN,1807,9.5,186,8.604864120483398,S
CAN_RES_25,CAN,1811,6.4,170,10.672191619873047,S
CAN_RES_27,CAN,1832,12.8,187,7.7300238609313965,S
CAN_RES_28,CAN,1828,5.9,166,8.971668243408203,S
CAN_RES_30,CAN,1856,11.2,173,7.274365425109863,S
CAN_RES_29,CAN,1814,11.4,156,8.574599266052246,SE
CAN_RES_37,CAN,1708,15.8,128,9.433548927307129,SE
CAN_RES_35,CAN,1699,15.8,176,9.74613094329834,S
CAN_CON_34,CAN,1795,7.4,189,10.689680099487305,S
CAN_CON_33,CAN,1793,12.2,139,8.335129737854004,SE
